"keyword";"id.x";"likes_count.x";"from_id.x";"from_name.x";"message.x";"created_time.x";"type";"link";"story";"comments_count.x";"shares_count";"love_count";"haha_count";"wow_count";"sad_count";"angry_count";"join_id";"from_id.y";"from_name.y";"message.y";"created_time.y";"likes_count.y";"comments_count.y";"id.y"
"Humira";"1537409773148938_1718891388334108";3;"1537409773148938";"Hannan Khan Humira Arshad";NA;"2015-11-02T05:02:35+0000";"photo";"https://www.facebook.com/1537409773148938/photos/a.1537429683146947.1073741826.1537409773148938/1718891388334108/?type=3";"Hannan Khan Humira Arshad added a new photo.";0;0;0;0;0;0;0;"1718891388334108";NA;NA;NA;NA;NA;NA;NA
"Humira";"1537409773148938_1719160271640553";2;"1537409773148938";"Hannan Khan Humira Arshad";NA;"2015-11-03T08:25:12+0000";"photo";"https://www.facebook.com/1537409773148938/photos/a.1537429683146947.1073741826.1537409773148938/1719160271640553/?type=3";"Hannan Khan Humira Arshad added a new photo.";0;1;0;0;0;0;0;"1719160271640553";NA;NA;NA;NA;NA;NA;NA
"Humira";"1537409773148938_1719238318299415";1;"1537409773148938";"Hannan Khan Humira Arshad";":p";"2015-11-03T15:52:42+0000";"video";"https://www.facebook.com/1537409773148938/videos/1719238318299415/";NA;0;0;0;0;0;0;0;"1719238318299415";NA;NA;NA;NA;NA;NA;NA
"Humira";"1537409773148938_1719238578299389";1;"1537409773148938";"Hannan Khan Humira Arshad";NA;"2015-11-03T15:53:08+0000";"photo";"https://www.facebook.com/1537409773148938/photos/a.1537429683146947.1073741826.1537409773148938/1719238578299389/?type=3";"Hannan Khan Humira Arshad added a new photo.";0;0;0;0;0;0;0;"1719238578299389";NA;NA;NA;NA;NA;NA;NA
"Humira";"1537409773148938_1719501008273146";1;"1537409773148938";"Hannan Khan Humira Arshad";NA;"2015-11-04T18:43:36+0000";"photo";"https://www.facebook.com/1537409773148938/photos/a.1537429683146947.1073741826.1537409773148938/1719501008273146/?type=3";"Hannan Khan Humira Arshad added a new photo.";1;0;0;0;0;0;0;"1719501008273146";"1379635522099349";"Imad Khan";":-P";"2015-11-04T18:50:51+0000";1;0;"1719501008273146_1719501888273058"
"Humira";"1537409773148938_1719600431596537";2;"1537409773148938";"Hannan Khan Humira Arshad";NA;"2015-11-05T05:02:19+0000";"photo";"https://www.facebook.com/1537409773148938/photos/a.1537429683146947.1073741826.1537409773148938/1719600431596537/?type=3";"Hannan Khan Humira Arshad added a new photo.";0;1;0;0;0;0;0;"1719600431596537";NA;NA;NA;NA;NA;NA;NA
"Humira";"1537409773148938_1719600534929860";2;"1537409773148938";"Hannan Khan Humira Arshad";NA;"2015-11-05T05:03:02+0000";"photo";"https://www.facebook.com/1537409773148938/photos/a.1537429683146947.1073741826.1537409773148938/1719600534929860/?type=3";"Hannan Khan Humira Arshad added a new photo.";0;0;0;0;0;0;0;"1719600534929860";NA;NA;NA;NA;NA;NA;NA
"Humira";"1537409773148938_1719721598251087";1;"1537409773148938";"Hannan Khan Humira Arshad";NA;"2015-11-05T14:44:34+0000";"photo";"https://www.facebook.com/1537409773148938/photos/a.1537429683146947.1073741826.1537409773148938/1719721598251087/?type=3";"Hannan Khan Humira Arshad added a new photo.";0;0;0;0;0;0;0;"1719721598251087";NA;NA;NA;NA;NA;NA;NA
"Humira";"1537409773148938_1719732068250040";2;"1537409773148938";"Hannan Khan Humira Arshad";"Welcome Friends New Admin Paro :-)";"2015-11-05T15:33:22+0000";"photo";"https://www.facebook.com/1537409773148938/photos/a.1537429683146947.1073741826.1537409773148938/1719732068250040/?type=3";NA;1;0;0;0;0;0;0;"1719732068250040";"1537409773148938";"Hannan Khan Humira Arshad";"";"2015-12-21T07:39:19+0000";0;0;"1719732068250040_1732615320295048"
"Humira";"1537409773148938_1720070481549532";4;"1537409773148938";"Hannan Khan Humira Arshad";NA;"2015-11-06T17:28:34+0000";"photo";"https://www.facebook.com/1537409773148938/photos/a.1537429683146947.1073741826.1537409773148938/1720070481549532/?type=3";"Hannan Khan Humira Arshad added a new photo.";2;0;0;0;0;0;0;"1720070481549532";"1537409773148938";"Hannan Khan Humira Arshad";":-)";"2015-11-06T18:25:00+0000";1;0;"1720070481549532_1720082904881623"
"Humira";"1537409773148938_1720070481549532";4;"1537409773148938";"Hannan Khan Humira Arshad";NA;"2015-11-06T17:28:34+0000";"photo";"https://www.facebook.com/1537409773148938/photos/a.1537429683146947.1073741826.1537409773148938/1720070481549532/?type=3";"Hannan Khan Humira Arshad added a new photo.";2;0;0;0;0;0;0;"1720070481549532";"1739178686393428";"Âyaž Haider Bhatti";"YeSss nO douBT (y)";"2015-11-06T18:11:26+0000";1;0;"1720070481549532_1720079341548646"
"Humira";"1537409773148938_1720365504853363";2;"1537409773148938";"Hannan Khan Humira Arshad";NA;"2015-11-07T16:54:20+0000";"photo";"https://www.facebook.com/1537409773148938/photos/a.1537429683146947.1073741826.1537409773148938/1720365504853363/?type=3";"Hannan Khan Humira Arshad added a new photo.";0;0;0;0;0;0;0;"1720365504853363";NA;NA;NA;NA;NA;NA;NA
"Humira";"1537409773148938_1720365668186680";3;"1537409773148938";"Hannan Khan Humira Arshad";NA;"2015-11-07T16:55:12+0000";"photo";"https://www.facebook.com/1537409773148938/photos/a.1537429683146947.1073741826.1537409773148938/1720365668186680/?type=3";"Hannan Khan Humira Arshad added a new photo.";2;0;0;0;0;0;0;"1720365668186680";"1537409773148938";"Hannan Khan Humira Arshad";"";"2015-11-08T15:18:34+0000";0;0;"1720365668186680_1720613734828540"
"Humira";"1537409773148938_1720635681493012";2;"1537409773148938";"Hannan Khan Humira Arshad";NA;"2015-11-08T17:02:13+0000";"photo";"https://www.facebook.com/1537409773148938/photos/a.1537429683146947.1073741826.1537409773148938/1720635681493012/?type=3";"Hannan Khan Humira Arshad added a new photo.";0;0;0;0;0;0;0;"1720635681493012";NA;NA;NA;NA;NA;NA;NA
"Humira";"1537409773148938_1720795208143726";2;"1537409773148938";"Hannan Khan Humira Arshad";NA;"2015-11-09T06:39:45+0000";"photo";"https://www.facebook.com/1537409773148938/photos/a.1537429683146947.1073741826.1537409773148938/1720795208143726/?type=3";"Hannan Khan Humira Arshad added a new photo.";0;0;0;0;0;0;0;"1720795208143726";NA;NA;NA;NA;NA;NA;NA
"Humira";"1537409773148938_1720807158142531";3;"1537409773148938";"Hannan Khan Humira Arshad";NA;"2015-11-09T08:05:45+0000";"photo";"https://www.facebook.com/1537409773148938/photos/a.1537429683146947.1073741826.1537409773148938/1720807158142531/?type=3";"Hannan Khan Humira Arshad added a new photo.";0;0;0;0;0;0;0;"1720807158142531";NA;NA;NA;NA;NA;NA;NA
"Humira";"1537409773148938_1720807284809185";3;"1537409773148938";"Hannan Khan Humira Arshad";NA;"2015-11-09T08:06:11+0000";"photo";"https://www.facebook.com/1537409773148938/photos/a.1537429683146947.1073741826.1537409773148938/1720807284809185/?type=3";"Hannan Khan Humira Arshad added a new photo.";0;0;0;0;0;0;0;"1720807284809185";NA;NA;NA;NA;NA;NA;NA
"Humira";"1537409773148938_1720807918142455";3;"1537409773148938";"Hannan Khan Humira Arshad";NA;"2015-11-09T08:13:34+0000";"photo";"https://www.facebook.com/1537409773148938/photos/a.1537429683146947.1073741826.1537409773148938/1720807918142455/?type=3";"Hannan Khan Humira Arshad added a new photo.";0;0;0;0;0;0;0;"1720807918142455";NA;NA;NA;NA;NA;NA;NA
"Humira";"1537409773148938_1720807998142447";2;"1537409773148938";"Hannan Khan Humira Arshad";NA;"2015-11-09T08:13:46+0000";"photo";"https://www.facebook.com/1537409773148938/photos/a.1537429683146947.1073741826.1537409773148938/1720807998142447/?type=3";"Hannan Khan Humira Arshad added a new photo.";0;1;0;0;0;0;0;"1720807998142447";NA;NA;NA;NA;NA;NA;NA
"Humira";"1537409773148938_1720817391474841";1;"1537409773148938";"Hannan Khan Humira Arshad";"نہ وہ عشق میں رہی گرمیاں ، نہ وہ حسن میں رہی شوخیاں،
نہ وہ غزنوی میں تڑپ رہی ، نہ وہ خم ہے زلف ایاز میں ،
جو میں سر بسجدہ ہوا کبھی ، تو زمیں سے آنے لگی صدا ،
تیرا دل تو ہے صنم آشنا ، تجھے کیا ملے گا نماز میں .!!!٠
علامہ محمّد اقبال";"2015-11-09T09:29:37+0000";"photo";"https://www.facebook.com/1537409773148938/photos/a.1537429683146947.1073741826.1537409773148938/1720817391474841/?type=3";NA;0;0;0;0;0;0;0;"1720817391474841";NA;NA;NA;NA;NA;NA;NA
"Humira";"1537409773148938_1721064734783440";2;"1537409773148938";"Hannan Khan Humira Arshad";NA;"2015-11-10T07:54:57+0000";"photo";"https://www.facebook.com/1537409773148938/photos/a.1537429683146947.1073741826.1537409773148938/1721064734783440/?type=3";"Hannan Khan Humira Arshad added a new photo.";0;0;0;0;0;0;0;"1721064734783440";NA;NA;NA;NA;NA;NA;NA
"Humira";"1537409773148938_1721065061450074";2;"1537409773148938";"Hannan Khan Humira Arshad";NA;"2015-11-10T07:55:39+0000";"photo";"https://www.facebook.com/1537409773148938/photos/a.1597350770488171.1073741827.1537409773148938/1721065024783411/?type=3";"Hannan Khan Humira Arshad added 2 new photos.";0;0;0;0;0;0;0;"1721065061450074";NA;NA;NA;NA;NA;NA;NA
"Humira";"1537409773148938_1721065208116726";2;"1537409773148938";"Hannan Khan Humira Arshad";NA;"2015-11-10T07:56:35+0000";"photo";"https://www.facebook.com/1537409773148938/photos/a.1537429683146947.1073741826.1537409773148938/1721065208116726/?type=3";"Hannan Khan Humira Arshad added a new photo.";0;1;0;0;0;0;0;"1721065208116726";NA;NA;NA;NA;NA;NA;NA
